#,Code,Description,"Ad status","Expires on",Reserved,Client,Channel,Office,"Updated at"
1977,Eid53,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1978,Eid54,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1979,Eid55,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1980,Eid56,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1981,Eid57,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1982,Eid58,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1983,Eid59,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-15 18:01:16"
1984,Eid31,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Miners,N/A,"2018-08-15 18:00:53"
1985,Eid32,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Miners,N/A,"2018-08-15 18:00:53"
1986,Eid33,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Miners,N/A,"2018-08-15 18:00:53"
1987,Eid34,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Miners,N/A,"2018-08-15 18:00:53"
1988,Eid35,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Miners,N/A,"2018-08-15 18:00:53"
1989,Eid36,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Miners,N/A,"2018-08-15 18:00:53"
1990,Eid37,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Miners,N/A,"2018-08-15 18:00:53"
1991,Eid38,"10% off all items outside the offers",Active,N/A,N/A,"Arabian Oud",Miners,N/A,"2018-08-15 18:00:53"
1992,qyada4,"12% on Gross Order, Any Customer, Multiple Usage (Offer valid on all items including teh sale page)",active,N/A,"Wsaif AlTamimi",Sivvi,Influencers,N/A,"2018-08-14 21:41:44"
1993,Hala29,"20% off on all clothing",N/A,2018-08-19,N/A,Sivvi,SEM,N/A,"2018-08-14 16:32:42"
1994,NANAZF2,"15% on Gross Order, Any Customer, Multiple Usage",active,2018-09-30,"Raghad Days",Zaful,Influencers,N/A,"2018-08-14 02:40:45"
1995,NANAZF1,"15% on Gross Order, Any Customer, Multiple Usage (Nu'man - SEM)",Active,2018-09-30,N/A,Zaful,SEM,N/A,"2018-08-13 22:06:46"
1996,NANAZF10,"15% on Gross Order, Any Customer, Multiple Usage",Active,2018-09-30,N/A,Zaful,Influencers,N/A,"2018-08-13 22:06:31"
1997,NANAZF9,"15% on Gross Order, Any Customer, Multiple Usage",Active,2018-09-30,N/A,Zaful,N/A,N/A,"2018-08-13 22:06:31"
1998,NANAZF8,"15% on Gross Order, Any Customer, Multiple Usage",Active,2018-09-30,N/A,Zaful,N/A,N/A,"2018-08-13 22:06:31"
1999,NANAZF7,"15% on Gross Order, Any Customer, Multiple Usage",Active,2018-09-30,N/A,Zaful,N/A,N/A,"2018-08-13 22:06:31"
2000,NANAZF6,"15% on Gross Order, Any Customer, Multiple Usage",Active,2018-09-30,N/A,Zaful,N/A,N/A,"2018-08-13 22:06:31"
2001,NANAZF5,"15% on Gross Order, Any Customer, Multiple Usage",Active,2018-09-30,N/A,Zaful,N/A,N/A,"2018-08-13 22:06:31"
2002,NANAZF4,"15% on Gross Order, Any Customer, Multiple Usage",Active,2018-09-30,N/A,Zaful,N/A,N/A,"2018-08-13 22:06:31"
2003,NANAZF3,"15% on Gross Order, Any Customer, Multiple Usage",Active,2018-09-30,N/A,Zaful,N/A,N/A,"2018-08-13 22:06:31"
2004,eid20,"5% on Gross Order, Any Customer, Multiple Usage (Nu'man - SEM)",N/A,N/A,N/A,Sprii,SEM,N/A,"2018-08-13 21:36:47"
2005,Eid84,"20% off everything",Active,N/A,N/A,Elabelz,N/A,N/A,"2018-08-13 18:47:00"
2006,Eid92,"20% off everything",Active,N/A,N/A,Elabelz,N/A,N/A,"2018-08-13 18:47:00"
2007,Eid54,"20% off everything",Active,N/A,N/A,Elabelz,N/A,N/A,"2018-08-13 18:47:00"
2008,Eid58,"20% off everything",Active,N/A,N/A,Elabelz,N/A,N/A,"2018-08-13 18:47:00"
2009,Eid44,"20% off everything",Active,N/A,N/A,Elabelz,Influencers,N/A,"2018-08-13 18:47:00"
2010,Eid93,"20% off everything",Active,N/A,N/A,Elabelz,N/A,N/A,"2018-08-13 18:47:00"
2011,Eid68,"20% off everything",Active,N/A,N/A,Elabelz,N/A,N/A,"2018-08-13 18:47:00"
2012,Eid73,"20% off everything",Active,N/A,N/A,Elabelz,N/A,N/A,"2018-08-13 18:47:00"
2013,Eid19,"20% off everything",Active,N/A,N/A,Elabelz,N/A,N/A,"2018-08-13 18:47:00"
